"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_PERMS_USER_INGTROUP","is already inside of group:","is already inside of group:","is already inside of group:","is already inside of group:","уже находится в группе: ","is already inside of group:","is already inside of group:","is already inside of group:","is already inside of group:","est déjà dans le groupe : ","is already inside of group:","is already inside of group:","is already inside of group:","is already inside of group:"
"VSTR_ERROR_UNKOWN_PERM","permission is unknown/unregistered!","permission is unknown/unregistered!","permission is unknown/unregistered!","permission is unknown/unregistered!","разрешение неизвестно/незарегистрировано!","permission is unknown/unregistered!","permission is unknown/unregistered!","permission is unknown/unregistered!","permission is unknown/unregistered!","la permission est inconnue/non enregistrée !","permission is unknown/unregistered!","permission is unknown/unregistered!","permission is unknown/unregistered!","permission is unknown/unregistered!"
"VSTR_ERROR_NAME_MISMATCH","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Ваше имя не совпадает с именем группы пользователей!\nВы не можете получить доступ к инструментам\nизмените свое имя на: ","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Votre nom ne correspond pas au nom du groupe d'utilisateurs !\nVous ne pouvez pas accéder aux outils\nchangez votre nom en : ","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:","Your name does not match the usergroup name!\nYou can't access the tools\nchange your name to:"
"VSTR_ERROR_NOT_ADMIN","You are not an admin or belong to a usergroup.","You are not an admin or belong to a usergroup.","You are not an admin or belong to a usergroup.","You are not an admin or belong to a usergroup.","Вы не являетесь админом или принадлежите к группе пользователей.","You are not an admin or belong to a usergroup.","You are not an admin or belong to a usergroup.","You are not an admin or belong to a usergroup.","You are not an admin or belong to a usergroup.","Vous n'êtes pas un admin ou n'appartenez pas à un groupe d'utilisateurs.","You are not an admin or belong to a usergroup.","You are not an admin or belong to a usergroup.","You are not an admin or belong to a usergroup.","You are not an admin or belong to a usergroup."
"VSTR_ERROR_CANT_TARGET","You cannot target Super Admins with:","You cannot target Super Admins with:","You cannot target Super Admins with:","You cannot target Super Admins with:","Вы не можете настроить таргетинг на суперадминов с: ","You cannot target Super Admins with:","You cannot target Super Admins with:","You cannot target Super Admins with:","You cannot target Super Admins with:","Vous ne pouvez pas cibler les Super Admins avec : ","You cannot target Super Admins with:","You cannot target Super Admins with:","You cannot target Super Admins with:","You cannot target Super Admins with:"
"VSTR_ERROR_NO_PERM","You don't have the following permission:","You don't have the following permission:","You don't have the following permission:","You don't have the following permission:","У вас нет следующего разрешения:","You don't have the following permission:","You don't have the following permission:","You don't have the following permission:","You don't have the following permission:","Vous n'avez pas la permission suivante : ","You don't have the following permission:","You don't have the following permission:","You don't have the following permission:","You don't have the following permission:"
"VSTR_PERM_LVL_LOW","Permission level too low to exectue:","Permission level too low to exectue:","Permission level too low to exectue:","Permission level too low to exectue:","Слишком низкий уровень разрешений для выполнения: ","Permission level too low to exectue:","Permission level too low to exectue:","Permission level too low to exectue:","Permission level too low to exectue:","Niveau de permission trop bas pour exécuter : ","Permission level too low to exectue:","Permission level too low to exectue:","Permission level too low to exectue:","Permission level too low to exectue:"
"VSTR_BANNED","is now banned!","is now banned!","is now banned!","is now banned!","теперь ЗАБАНЕН!","is now banned!","is now banned!","is now banned!","is now banned!","est maintenant banni !","is now banned!","is now banned!","is now banned!","is now banned!"
"VSTR_BAN_REASON","Banned By Server Admin","Banned By Server Admin","Banned By Server Admin","Banned By Server Admin","Забанен Админом ","Banned By Server Admin","Banned By Server Admin","Banned By Server Admin","Banned By Server Admin","Banni par l'administrateur du serveur ","Banned By Server Admin","Banned By Server Admin","Banned By Server Admin","Banned By Server Admin"
"VSTR_ERROR_BAN_PLAYER","Unable to ban player","Unable to ban player","Unable to ban player","Unable to ban player","Не получается забанить игрока ","Unable to ban player","Unable to ban player","Unable to ban player","Unable to ban player","Impossible de bannir le joueur ","Unable to ban player","Unable to ban player","Unable to ban player","Unable to ban player"
"VSTR_KICK_PLAYER","Kicking player:","Kicking player:","Kicking player:","Kicking player:","Kicking player: ","Kicking player:","Kicking player:","Kicking player:","Kicking player:","Expulsion du joueur : ","Kicking player:","Kicking player:","Kicking player:","Kicking player:"
"VSTR_NOTIFY_SPECTATE","Press (PAGE-UP) to exit spectate!","Press (PAGE-UP) to exit spectate!","Press (PAGE-UP) to exit spectate!","Press (PAGE-UP) to exit spectate!","Нажмите (PAGE-UP) для выхода из наблюдения!","Press (PAGE-UP) to exit spectate!","Press (PAGE-UP) to exit spectate!","Press (PAGE-UP) to exit spectate!","Press (PAGE-UP) to exit spectate!","Appuyez sur (PAGE-UP) pour quitter le mode spectateur !","Press (PAGE-UP) to exit spectate!","Press (PAGE-UP) to exit spectate!","Press (PAGE-UP) to exit spectate!","Press (PAGE-UP) to exit spectate!"
"VSTR_NOTIFY_GODMODE_OFF","GodMode Toggled OFF!","GodMode Toggled OFF!","GodMode Toggled OFF!","GodMode Toggled OFF!","ГМ Отключен!","GodMode Toggled OFF!","GodMode Toggled OFF!","GodMode Toggled OFF!","GodMode Toggled OFF!","GodMode désactivé !","GodMode Toggled OFF!","GodMode Toggled OFF!","GodMode Toggled OFF!","GodMode Toggled OFF!"
"VSTR_NOTIFY_GODMODE_ON","GodMode Toggled ON!","GodMode Toggled ON!","GodMode Toggled ON!","GodMode Toggled ON!","ГМ Включен!","GodMode Toggled ON!","GodMode Toggled ON!","GodMode Toggled ON!","GodMode Toggled ON!","GodMode activé !","GodMode Toggled ON!","GodMode Toggled ON!","GodMode Toggled ON!","GodMode Toggled ON!"
"VSTR_NOTIFY_REVOKE_GODMODE","Admin Revoked your godmode","Admin Revoked your godmode","Admin Revoked your godmode","Admin Revoked your godmode","Админ отключил вам ГМ [OFF]","Admin Revoked your godmode","Admin Revoked your godmode","Admin Revoked your godmode","Admin Revoked your godmode","L'administrateur a révoqué votre GodMode","Admin Revoked your godmode","Admin Revoked your godmode","Admin Revoked your godmode","Admin Revoked your godmode"
"VSTR_NOTIFY_REVOKE_GODMODE_ADMIN","You Revoked selected players godmode!","You Revoked selected players godmode!","You Revoked selected players godmode!","You Revoked selected players godmode!","Вы отключили ГМ выбранному игроку! [OFF]","You Revoked selected players godmode!","You Revoked selected players godmode!","You Revoked selected players godmode!","You Revoked selected players godmode!","Vous avez révoqué le GodMode des joueurs sélectionnés !","You Revoked selected players godmode!","You Revoked selected players godmode!","You Revoked selected players godmode!","You Revoked selected players godmode!"
"VSTR_NOTIFY_GIVE_GODMODE","Admin Gave you GodMode","Admin Gave you GodMode","Admin Gave you GodMode","Admin Gave you GodMode","Админ включил вам ГМ [ON]","Admin Gave you GodMode","Admin Gave you GodMode","Admin Gave you GodMode","Admin Gave you GodMode","L'administrateur vous a donné le GodMode","Admin Gave you GodMode","Admin Gave you GodMode","Admin Gave you GodMode","Admin Gave you GodMode"
"VSTR_NOTIFY_GIVE_GODMODE_ADMIN","You Gave selected player godmode!","You Gave selected player godmode!","You Gave selected player godmode!","You Gave selected player godmode!","Вы включили ГМ выбранному игроку! [ON]","You Gave selected player godmode!","You Gave selected player godmode!","You Gave selected player godmode!","You Gave selected player godmode!","Vous avez donné le GodMode au joueur sélectionné !","You Gave selected player godmode!","You Gave selected player godmode!","You Gave selected player godmode!","You Gave selected player godmode!"
"VSTR_NOTIFY_REVOKE_AMMO","Admin Revoked your unlimited ammo","Admin Revoked your unlimited ammo","Admin Revoked your unlimited ammo","Admin Revoked your unlimited ammo","Админ отключил вам бесконечный БК [OFF]","Admin Revoked your unlimited ammo","Admin Revoked your unlimited ammo","Admin Revoked your unlimited ammo","Admin Revoked your unlimited ammo","L'administrateur a révoqué vos munitions illimitées","Admin Revoked your unlimited ammo","Admin Revoked your unlimited ammo","Admin Revoked your unlimited ammo","Admin Revoked your unlimited ammo"
"VSTR_NOTIFY_REVOKE_AMMO_ADMIN","You Revoked selected players unlimited ammo!","You Revoked selected players unlimited ammo!","You Revoked selected players unlimited ammo!","You Revoked selected players unlimited ammo!","Вы отключили бесконечный БК выбранным игрокам! [OFF]","You Revoked selected players unlimited ammo!","You Revoked selected players unlimited ammo!","You Revoked selected players unlimited ammo!","You Revoked selected players unlimited ammo!","Vous avez révoqué les munitions illimitées des joueurs sélectionnés !","You Revoked selected players unlimited ammo!","You Revoked selected players unlimited ammo!","You Revoked selected players unlimited ammo!","You Revoked selected players unlimited ammo!"
"VSTR_NOTIFY_GIVE_AMMO","Admin Gave you Unlimited Ammo!","Admin Gave you Unlimited Ammo!","Admin Gave you Unlimited Ammo!","Admin Gave you Unlimited Ammo!","Админ включил вам бесконечный БК! [ON]","Admin Gave you Unlimited Ammo!","Admin Gave you Unlimited Ammo!","Admin Gave you Unlimited Ammo!","Admin Gave you Unlimited Ammo!","L'administrateur vous a donné des munitions illimitées !","Admin Gave you Unlimited Ammo!","Admin Gave you Unlimited Ammo!","Admin Gave you Unlimited Ammo!","Admin Gave you Unlimited Ammo!"
"VSTR_NOTIFY_GIVE_AMMO_ADMIN","You Gave selected player Unlimited Ammo!","You Gave selected player Unlimited Ammo!","You Gave selected player Unlimited Ammo!","You Gave selected player Unlimited Ammo!","Вы включили бесконечный БК выбранному игроку! [ON]","You Gave selected player Unlimited Ammo!","You Gave selected player Unlimited Ammo!","You Gave selected player Unlimited Ammo!","You Gave selected player Unlimited Ammo!","Vous avez donné des munitions illimitées au joueur sélectionné !","You Gave selected player Unlimited Ammo!","You Gave selected player Unlimited Ammo!","You Gave selected player Unlimited Ammo!","You Gave selected player Unlimited Ammo!"
"VSTR_NOTIFY_RESTART_ERROR","There is already a request for a restart","There is already a request for a restart","There is already a request for a restart","There is already a request for a restart","Запрос на перезагрузку уже обрабатывается…","There is already a request for a restart","There is already a request for a restart","There is already a request for a restart","There is already a request for a restart","Il y a déjà une demande de redémarrage en cours…","There is already a request for a restart","There is already a request for a restart","There is already a request for a restart","There is already a request for a restart"
"VSTR_NOTIFY_RESTART_IN","Server Restart in:","Server Restart in:","Server Restart in:","Server Restart in:","Рестарт сервера через: ","Server Restart in:","Server Restart in:","Server Restart in:","Server Restart in:","Redémarrage du serveur dans : ","Server Restart in:","Server Restart in:","Server Restart in:","Server Restart in:"
"VSTR_NOTIFY_TP_BRINGSELF_ERR","You cannot bring yourself.","You cannot bring yourself.","You cannot bring yourself.","You cannot bring yourself.","Нельзя телепортироваться к себе.","You cannot bring yourself.","You cannot bring yourself.","You cannot bring yourself.","You cannot bring yourself.","Vous ne pouvez pas vous amener vous-même.","You cannot bring yourself.","You cannot bring yourself.","You cannot bring yourself.","You cannot bring yourself."
"VSTR_NOTIFY_ERR_TP_NORETURN","No return position available.","No return position available.","No return position available.","No return position available.","Нет доступной точки возврата.","No return position available.","No return position available.","No return position available.","No return position available.","Aucune position de retour disponible.","No return position available.","No return position available.","No return position available.","No return position available."
"VSTR_NOTIFY_ERR_TPSELF","You cannot teleport to yourself","You cannot teleport to yourself","You cannot teleport to yourself","You cannot teleport to yourself","Нельзя телепортироваться к себе","You cannot teleport to yourself","You cannot teleport to yourself","You cannot teleport to yourself","You cannot teleport to yourself","Vous ne pouvez pas vous téléporter à vous-même","You cannot teleport to yourself","You cannot teleport to yourself","You cannot teleport to yourself","You cannot teleport to yourself"
"VSTR_TP_ERR_INVALID","Invalid Position","Invalid Position","Invalid Position","Invalid Position","Недопустимое положение","Invalid Position","Invalid Position","Invalid Position","Invalid Position","Position invalide","Invalid Position","Invalid Position","Invalid Position","Invalid Position"
"VSTR_DEL_SUCESS","Successfully deleted","Successfully deleted","Successfully deleted","Successfully deleted","Успешно удалено ","Successfully deleted","Successfully deleted","Successfully deleted","Successfully deleted","Supprimé avec succès ","Successfully deleted","Successfully deleted","Successfully deleted","Successfully deleted"
"VSTR_ADD_SUCESS","Successfully added","Successfully added","Successfully added","Successfully added","Успешно добавлено ","Successfully added","Successfully added","Successfully added","Successfully added","Ajouté avec succès ","Successfully added","Successfully added","Successfully added","Successfully added"
"VSTR_EDIT_SUCESS","Successfully edited","Successfully edited","Successfully edited","Successfully edited","Успешно изменено ","Successfully edited","Successfully edited","Successfully edited","Successfully edited","Édité avec succès ","Successfully edited","Successfully edited","Successfully edited","Successfully edited"
"VSTR_NOT_DEFINED","NOT DEFINED","NOT DEFINED","NOT DEFINED","NOT DEFINED","НЕ ОПРЕДЕЛЕНО","NOT DEFINED","NOT DEFINED","NOT DEFINED","NOT DEFINED","NON DÉFINI","NOT DEFINED","NOT DEFINED","NOT DEFINED","NOT DEFINED"
"VSTR_NOTIFY_TOOLS_TOGGLE_ON","Admin Tools & keybinds toggled [ON]!","Admin Tools & keybinds toggled [ON]!","Admin Tools & keybinds toggled [ON]!","Admin Tools & keybinds toggled [ON]!","Инструменты администратора и горячие клавиши включены [ON]!","Admin Tools & keybinds toggled [ON]!","Admin Tools & keybinds toggled [ON]!","Admin Tools & keybinds toggled [ON]!","Admin Tools & keybinds toggled [ON]!","Outils administrateurs & raccourcis activés [ON] !","Admin Tools & keybinds toggled [ON]!","Admin Tools & keybinds toggled [ON]!","Admin Tools & keybinds toggled [ON]!","Admin Tools & keybinds toggled [ON]!"
"VSTR_NOTIFY_TOOLS_TOGGLE_OFF","Admin Tools & keybinds toggled [OFF]!","Admin Tools & keybinds toggled [OFF]!","Admin Tools & keybinds toggled [OFF]!","Admin Tools & keybinds toggled [OFF]!","Инструменты администратора и горячие клавиши выключены [OFF]!","Admin Tools & keybinds toggled [OFF]!","Admin Tools & keybinds toggled [OFF]!","Admin Tools & keybinds toggled [OFF]!","Admin Tools & keybinds toggled [OFF]!","Outils administrateurs & raccourcis désactivés [OFF] !","Admin Tools & keybinds toggled [OFF]!","Admin Tools & keybinds toggled [OFF]!","Admin Tools & keybinds toggled [OFF]!","Admin Tools & keybinds toggled [OFF]!"
"VSTR_NOTIFY_ERR_NOTTOGGLE","[VPPAT] Can't preform that action","[VPPAT] Can't preform that action","[VPPAT] Can't preform that action","[VPPAT] Can't preform that action","[VVPAT] Админка отключена! [END] по умолчанию для включения!","[VPPAT] Can't preform that action","[VPPAT] Can't preform that action","[VPPAT] Can't preform that action","[VPPAT] Can't preform that action","[VPPAT] Impossible d'exécuter cette action, les outils sont désactivés !","[VPPAT] Can't preform that action","[VPPAT] Can't preform that action","[VPPAT] Can't preform that action","[VPPAT] Can't preform that action"
"VSTR_NOTIFY_DEL_OBJ","Delete Object?","Delete Object?","Delete Object?","Delete Object?","Удалить объект?","Delete Object?","Delete Object?","Delete Object?","Delete Object?","Supprimer l'objet ?","Delete Object?","Delete Object?","Delete Object?","Delete Object?"
"VSTR_NOTIFY_Q_DEL","Are you sure you wish to delete","Are you sure you wish to delete","Are you sure you wish to delete","Are you sure you wish to delete","Вы действительно хотите удалить","Are you sure you wish to delete","Are you sure you wish to delete","Are you sure you wish to delete","Are you sure you wish to delete","Êtes-vous sûr de vouloir supprimer","Are you sure you wish to delete","Are you sure you wish to delete","Are you sure you wish to delete","Are you sure you wish to delete"
"VSTR_NOTIFY_COPY_CLIPBOARD","Copied My Position to Clipboard!","Copied My Position to Clipboard!","Copied My Position to Clipboard!","Copied My Position to Clipboard!","Ваша позиция скопирована в буфер обмена!","Copied My Position to Clipboard!","Copied My Position to Clipboard!","Copied My Position to Clipboard!","Copied My Position to Clipboard!","Ma position a été copiée dans le presse-papiers !","Copied My Position to Clipboard!","Copied My Position to Clipboard!","Copied My Position to Clipboard!","Copied My Position to Clipboard!"
"VSTR_NOTIFY_COPY_POS","Copied position of object at crosshair to clipboard!","Copied position of object at crosshair to clipboard!","Copied position of object at crosshair to clipboard!","Copied position of object at crosshair to clipboard!","Позиция объекта под прицелом, скопирована в буфер обмена!","Copied position of object at crosshair to clipboard!","Copied position of object at crosshair to clipboard!","Copied position of object at crosshair to clipboard!","Copied position of object at crosshair to clipboard!","Position de l'objet au réticule copiée dans le presse-papiers !","Copied position of object at crosshair to clipboard!","Copied position of object at crosshair to clipboard!","Copied position of object at crosshair to clipboard!","Copied position of object at crosshair to clipboard!"
"VSTR_NOTIFY_SERVER_LOCK_OFF","Server is NO LONGER locked!","Server is NO LONGER locked!","Server is NO LONGER locked!","Server is NO LONGER locked!","Сервер БОЛЬШЕ НЕ БЛОКИРОВАН!","Server is NO LONGER locked!","Server is NO LONGER locked!","Server is NO LONGER locked!","Server is NO LONGER locked!","Le serveur n'est PLUS verrouillé !","Server is NO LONGER locked!","Server is NO LONGER locked!","Server is NO LONGER locked!","Server is NO LONGER locked!"
"VSTR_NOTIFY_SERVER_LOCK_ON","server is now locked!","server is now locked!","server is now locked!","server is now locked!","сервер заблокирован!","server is now locked!","server is now locked!","server is now locked!","server is now locked!","Le serveur est maintenant verrouillé !","server is now locked!","server is now locked!","server is now locked!","server is now locked!"
"VSTR_NOTIFY_SERVER_LOCKED","Server is Currently Locked!","Server is Currently Locked!","Server is Currently Locked!","Server is Currently Locked!","Сервер в настоящее время заблокирован!","Server is Currently Locked!","Server is Currently Locked!","Server is Currently Locked!","Server is Currently Locked!","Le serveur est actuellement verrouillé !","Server is Currently Locked!","Server is Currently Locked!","Server is Currently Locked!","Server is Currently Locked!"
"VSTR_NOTIFY_LOGGED_IN_ADMIN","Logged in as admin","Logged in as admin","Logged in as admin","Logged in as admin","Зашел как администратор","Logged in as admin","Logged in as admin","Logged in as admin","Logged in as admin","Connecté en tant qu'administrateur","Logged in as admin","Logged in as admin","Logged in as admin","Logged in as admin"
"VSTR_NOTIFY_LOGGED_OUT_ADMIN","Logged out","Logged out","Logged out","Logged out","Вышел","Logged out","Logged out","Logged out","Logged out","Déconnecté","Logged out","Logged out","Logged out","Logged out"
"VSTR_TOOLTIP_PLAYERMANAGER","Manage players","Manage players","Manage players","Manage players","Управляйте игроками, телепортируйтесь, убивайте, отправляйте сообщения, лечите, просматривайте информацию об игроках (GUID, имя, статус игрока) и многое другое","Manage players","Manage players","Manage players","Manage players","Gérer les joueurs, téléporter, tuer, envoyer des messages, soigner, voir des informations sur les joueurs (guid, nom, statut) & plus","Manage players","Manage players","Manage players","Manage players"
"VSTR_TOOLTIP_ITEMMANAGER","Spawn items on players","Spawn items on players","Spawn items on players","Spawn items on players","Спавн предметов в игроках, на земле, под прицелом, создавайте, редактируйте и удаляйте пресеты предметов и многое другое!","Spawn items on players","Spawn items on players","Spawn items on players","Spawn items on players","Faire apparaître des objets, modifier et supprimer des ensembles d'objets & plus !","Spawn items on players","Spawn items on players","Spawn items on players","Spawn items on players"
"VSTR_TOOLTIP_TELEPORTMANAGER","Manage teleport presets","Manage teleport presets","Manage teleport presets","Manage teleport presets","Управляйте пресетами телепортации, добавляйте и редактируйте. Массовый телепорт игроков.","Manage teleport presets","Manage teleport presets","Manage teleport presets","Manage teleport presets","Gérer les présélections de téléportation. Téléportation en masse des joueurs & téléportation sur la carte.","Manage teleport presets","Manage teleport presets","Manage teleport presets","Manage teleport presets"
"VSTR_TOOLTIP_COMMANDSMENU","Execute and use shortcut commands!","Execute and use shortcut commands!","Execute and use shortcut commands!","Execute and use shortcut commands!","Выполняйте и используйте быстрые команды!","Execute and use shortcut commands!","Execute and use shortcut commands!","Execute and use shortcut commands!","Execute and use shortcut commands!","Exécutez et utilisez les commandes raccourcis !","Execute and use shortcut commands!","Execute and use shortcut commands!","Execute and use shortcut commands!","Execute and use shortcut commands!"
"VSTR_TOOLTIP_SERVERMANAGER","Control Server settings","Control Server settings","Control Server settings","Control Server settings","Управляйте настройками сервера, просматривайте действия игроков, рестарт сервера, отображение производительности и многое другое!","Control Server settings","Control Server settings","Control Server settings","Control Server settings","Contrôlez les paramètres du serveur, visualisez l'activité des joueurs, redémarrez le serveur, surveillez la performance & plus !","Control Server settings","Control Server settings","Control Server settings","Control Server settings"
"VSTR_TOOLTIP_WEATHERMANAGER","Manage server weather settings","Manage server weather settings","Manage server weather settings","Manage server weather settings","Управляйте настройками погоды на сервере, загружайте, создавайте и удаляйте пресеты, устанавливайте время и изменяйте прогноз.","Manage server weather settings","Manage server weather settings","Manage server weather settings","Manage server weather settings","Gérez les paramètres météorologiques du serveur, chargez, créez, supprimez des présélections, définissez l'heure et modifiez les prévisions.","Manage server weather settings","Manage server weather settings","Manage server weather settings","Manage server weather settings"
"VSTR_TOOLTIP_OBJMANAGER","Place custom mission objects","Place custom mission objects","Place custom mission objects","Place custom mission objects","Размещайте кастомные объекты, создавайте, загружайте, редактируйте пресеты и многое другое!","Place custom mission objects","Place custom mission objects","Place custom mission objects","Place custom mission objects","Placez des objets de mission personnalisés, créez, chargez, modifiez des présélections & plus !","Place custom mission objects","Place custom mission objects","Place custom mission objects","Place custom mission objects"
"VSTR_TOOLTIP_BANSMANAGER","Manage V++ Server ban list","Manage V++ Server ban list","Manage V++ Server ban list","Manage V++ Server ban list","Управляйте списком банов V++, добавляйте, удаляйте, обновляйте выданные баны.","Manage V++ Server ban list","Manage V++ Server ban list","Manage V++ Server ban list","Manage V++ Server ban list","Gérez la liste des interdictions du serveur V++, ajoutez, supprimez, mettez à jour les interdictions émises.","Manage V++ Server ban list","Manage V++ Server ban list","Manage V++ Server ban list","Manage V++ Server ban list"
"VSTR_TOOLTIP_PERMSEDITOR","Manage toolset permissions & roles","Manage toolset permissions & roles","Manage toolset permissions & roles","Manage toolset permissions & roles","Управляйте разрешениями и ролями админки, создавайте новые группы пользователей, редактируйте или удаляйте.","Manage toolset permissions & roles","Manage toolset permissions & roles","Manage toolset permissions & roles","Manage toolset permissions & roles","Gérez les autorisations et les rôles des outils, créez de nouveaux groupes d'utilisateurs, modifiez et supprimez.","Manage toolset permissions & roles","Manage toolset permissions & roles","Manage toolset permissions & roles","Manage toolset permissions & roles"
"VSTR_TOOLTIP_WEBHOOKS","Create and edit webhooks that offload log data. (Currently supports discord only)","Create and edit webhooks that offload log data. (Currently supports discord only)","Create and edit webhooks that offload log data. (Currently supports discord only)","Create and edit webhooks that offload log data. (Currently supports discord only)","Создавайте и редактируйте веб-хуки, которые выгружают данные журналов. (В настоящее время поддерживается только Discord)","Create and edit webhooks that offload log data. (Currently supports discord only)","Create and edit webhooks that offload log data. (Currently supports discord only)","Create and edit webhooks that offload log data. (Currently supports discord only)","Create and edit webhooks that offload log data. (Currently supports discord only)","Créez et modifiez des Webhooks qui déchargent les données de journalisation. (Actuellement prend en charge Discord uniquement)","Create and edit webhooks that offload log data. (Currently supports discord only)","Create and edit webhooks that offload log data. (Currently supports discord only)","Create and edit webhooks that offload log data. (Currently supports discord only)","Create and edit webhooks that offload log data. (Currently supports discord only)"
"VSTR_TOOLTIP_XMLEDITOR","Edit types.xml and check loot status on server!","Edit types.xml and check loot status on server!","Edit types.xml and check loot status on server!","Edit types.xml and check loot status on server!","Редактор файлов types.xml и проверка статуса лута на сервере!","Edit types.xml and check loot status on server!","Edit types.xml and check loot status on server!","Edit types.xml and check loot status on server!","Edit types.xml and check loot status on server!","Modifiez types.xml et vérifiez le statut des objets sur le serveur !","Edit types.xml and check loot status on server!","Edit types.xml and check loot status on server!","Edit types.xml and check loot status on server!","Edit types.xml and check loot status on server!"
"VSTR_TOOLTIP_TITLE","Information:","Information:","Information:","Information:","Информация:","Information:","Information:","Information:","Information:","Information :","Information:","Information:","Information:","Information:"
